keyword,normalized_query,search_intent,cluster,subcluster,country,city,audience,course,problem,funnel_stage,estimated_demand,competition_evidence,opportunity_score,ai_search_potential,existing_target_url,recommended_target_url,cannibalization_risk,content_type,action,evidence_source,confidence
noorani qaida near me,noorani qaida near me,commercial,noorani-qaida,course,Ireland,,none,noorani-qaida,no-local-access,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:1,78.6,MEDIUM,/online-quran-classes/dublin,/online-quran-classes/dublin,LOW,course,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
islamic classes near me,islamic classes near me,commercial,quran-learning-service,service,Norway,,none,none,no-local-access,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:10,77.1,MEDIUM,/locations/online-quran-classes-norway,/locations/online-quran-classes-norway,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran academy,quran academy,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:16,71.4,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
arabic and quran classes near me,arabic and quran classes near me,commercial,quran-learning-service,service,Netherlands,,none,none,no-local-access,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:12,67.1,MEDIUM,/locations/online-quran-classes-netherlands,/locations/online-quran-classes-netherlands,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
female teacher,female teacher,commercial,quran-learning-service,service,India,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:2,65.7,MEDIUM,/quran-classes-for-sisters,/quran-classes-for-sisters,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
barakallah meaning,barakallah meaning,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:669,GSC_AVG_POSITION:7.1,65.3,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,CTR OPTIMIZATION,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
female quran teacher online,female quran teacher online,commercial,quran-learning-service,service,United States,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:16.6,65.3,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
online female quran teacher,online female quran teacher,commercial,quran-learning-service,service,United States,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:16.5,63.7,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
online female quran tutor,online female quran tutor,commercial,quran-learning-service,service,United States,,women,none,gender-preference,middle,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:17,63.7,MEDIUM,/female-quran-teacher-online,/female-quran-teacher-online,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
how to recite attahiyat,how to recite attahiyat,informational,salah-prayer,guide,Nigeria,,none,quran-reading,none,top,GSC_IMPRESSIONS_68D:53,GSC_AVG_POSITION:7.9,62.9,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,CTR OPTIMIZATION,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
quran academy near me,quran academy near me,commercial,quran-learning-service,service,Saudi Arabia,,none,none,no-local-access,middle,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:12.2,62.4,MEDIUM,/locations/online-quran-classes-saudi-arabia,/locations/online-quran-classes-saudi-arabia,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
noorpath,noorpath,navigational,brand,brand,Pakistan,,none,none,none,brand,GSC_IMPRESSIONS_68D:144,GSC_AVG_POSITION:7.4,62.1,LOW,/,/,HIGH,brand,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
attahiyat full text,attahiyat full text,informational,salah-prayer,guide,Sweden,,none,none,none,top,GSC_IMPRESSIONS_68D:37,GSC_AVG_POSITION:9.7,62.0,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
tajweed kurs,tajweed kurs,informational,tajweed,course,Norway,,none,tajweed,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:1,61.4,LOW,/locations/online-quran-classes-norway,/locations/online-quran-classes-norway,LOW,course,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
barak allah meaning,barak allah meaning,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:92,GSC_AVG_POSITION:7.9,61.1,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,CTR OPTIMIZATION,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
barakallah means,barakallah means,informational,islamic-terms,definition,Pakistan,,none,none,none,top,GSC_IMPRESSIONS_68D:85,GSC_AVG_POSITION:7.8,61.0,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,CTR OPTIMIZATION,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
noor path academy,noor path academy,navigational,brand,brand,Pakistan,,none,none,none,brand,GSC_IMPRESSIONS_68D:63,GSC_AVG_POSITION:5.3,60.3,LOW,/,/,HIGH,brand,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
quran classes near me,quran classes near me,commercial,quran-learning-service,service,Netherlands,,none,none,no-local-access,middle,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:38.7,60.1,MEDIUM,/locations/online-quran-classes-netherlands,/locations/online-quran-classes-netherlands,HIGH,service,DIFFERENTIATE INTENT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
quran course,quran course,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:49,60.0,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran classes for adults singapore,quran classes for adults singapore,commercial,quran-learning-service,service,Singapore,,adults,none,none,middle,GSC_IMPRESSIONS_68D:6,GSC_AVG_POSITION:50,59.9,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,CONTENT REFRESH,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
dua for plane journey,dua for plane journey,informational,duas-supplications,guide,Norway,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:9,58.6,MEDIUM,/blog/safar-ki-dua-travel-dua-arabic-english,/blog/safar-ki-dua-travel-dua-arabic-english,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran classes singapore,quran classes singapore,commercial,quran-learning-service,service,Indonesia,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:18,58.6,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,INTERNAL LINKS,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
barak allah means,barak allah means,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:25,GSC_AVG_POSITION:8.1,58.4,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,CTR OPTIMIZATION,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
noor path,noor path,navigational,brand,brand,Pakistan,,none,none,none,brand,GSC_IMPRESSIONS_68D:22,GSC_AVG_POSITION:9.3,58.1,LOW,/,/,HIGH,brand,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
aththahiyath in english,aththahiyath in english,informational,salah-prayer,guide,Sri Lanka,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:7.8,58.1,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
qaidah meaning,qaidah meaning,informational,noorani-qaida,course,KEN,,none,noorani-qaida,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:11.5,58.0,HIGH,/blog/noorani-qaida-complete-guide,/blog/noorani-qaida-complete-guide,LOW,course,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran tutor near me,quran tutor near me,commercial,quran-learning-service,service,Singapore,,none,none,no-local-access,middle,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:42.5,58.0,MEDIUM,/locations/online-quran-classes-singapore,/locations/online-quran-classes-singapore,LOW,service,MONITOR,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
how to recite tahiya,how to recite tahiya,informational,salah-prayer,guide,GHA,,none,quran-reading,none,top,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:8.5,57.7,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
quran classes online with teacher,quran classes online with teacher,commercial,quran-learning-service,service,Denmark,,none,none,none,middle,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:64.5,57.7,MEDIUM,/quran-teacher-online,/quran-teacher-online,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
noorani qaida games,noorani qaida games,informational,noorani-qaida,course,Pakistan,,none,noorani-qaida,none,top,GSC_IMPRESSIONS_68D:30,GSC_AVG_POSITION:5.1,57.3,LOW,/noorani-qaida/games,/noorani-qaida/games,HIGH,course,DIFFERENTIATE INTENT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
attahiyatu,attahiyatu,informational,salah-prayer,guide,Denmark,,none,none,none,top,GSC_IMPRESSIONS_68D:7,GSC_AVG_POSITION:9.6,57.3,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
quran 2:201 rabbana atina fid-dunya hasanatan translation,quran 2:201 rabbana atina fid-dunya hasanatan translation,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:8,57.3,HIGH,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat,attahiyat,informational,salah-prayer,guide,Sweden,,none,none,none,top,GSC_IMPRESSIONS_68D:208,GSC_AVG_POSITION:11.7,57.1,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
quran 2:201 rabbana atina fid dunya hasanah wa fil akhirati hasanah wa qina adhaban nar,quran 2:201 rabbana atina fid dunya hasanah wa fil akhirati hasanah wa qina adhaban nar,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:13,GSC_AVG_POSITION:8.8,57.1,MEDIUM,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
quran 2:201 rabbana atina fid dunya hasanatan wa fil akhirati hasanatan,quran 2:201 rabbana atina fid dunya hasanatan wa fil akhirati hasanatan,informational,duas-supplications,guide,South Korea,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:9,57.1,MEDIUM,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran courses online,quran courses online,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:60,57.1,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
meaning of barakallah,meaning of barakallah,informational,islamic-terms,definition,India,,none,none,none,top,GSC_IMPRESSIONS_68D:12,GSC_AVG_POSITION:8.4,56.9,HIGH,/blog/barakallah-meaning,/blog/barakallah-meaning,LOW,definition,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
attahiyat lillahi wa salawatu english,attahiyat lillahi wa salawatu english,informational,salah-prayer,guide,Denmark,,none,none,none,top,GSC_IMPRESSIONS_68D:5,GSC_AVG_POSITION:13.2,56.7,MEDIUM,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
quran 2:201 rabbana atina fid dunya hasanatan wa fil akhirati hasanatan wa qina adhaban nar translation,quran 2:201 rabbana atina fid dunya hasanatan wa fil akhirati hasanatan wa qina adhaban nar translation,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:2,GSC_AVG_POSITION:8.5,56.6,HIGH,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
"""أستغفر الله"" means ""i seek forgiveness from allah""","""أستغفر الله"" means ""i seek forgiveness from allah""",informational,islamic-general,reference,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:9,GSC_AVG_POSITION:9.6,56.3,HIGH,/blog/astaghfirullah-meaning,/blog/astaghfirullah-meaning,LOW,reference,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
noorpathquranacademy.com,noorpathquranacademy.com,navigational,brand,brand,United States,,none,none,none,brand,GSC_IMPRESSIONS_68D:4,GSC_AVG_POSITION:6,56.3,LOW,/,/,LOW,brand,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
translation of attahiyat,translation of attahiyat,informational,salah-prayer,guide,UAE,,none,none,none,top,GSC_IMPRESSIONS_68D:3,GSC_AVG_POSITION:9.7,55.9,HIGH,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,MEDIUM
attahiyat text,attahiyat text,informational,salah-prayer,guide,Germany,,none,none,none,top,GSC_IMPRESSIONS_68D:13,GSC_AVG_POSITION:9.6,55.7,LOW,/blog/attahiyat-full-arabic-english-tashahhud,/blog/attahiyat-full-arabic-english-tashahhud,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,HIGH
hifz teacher near me,hifz teacher near me,commercial,quran-learning-service,service,New Zealand,,none,hifz,no-local-access,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:82,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran 2:201 rabbana atina fid dunya hasanah translation,quran 2:201 rabbana atina fid dunya hasanah translation,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:9,55.7,HIGH,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran 2:201 rabbana atina fid-dunya hasanatan wa fil akhirati hasanatan wa qina adhaban nar translation,quran 2:201 rabbana atina fid-dunya hasanatan wa fil akhirati hasanatan wa qina adhaban nar translation,informational,duas-supplications,guide,United States,,none,none,none,top,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:8,55.7,HIGH,/blog/rabbana-atina-fid-dunya,/blog/rabbana-atina-fid-dunya,LOW,guide,PROTECT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran class online,quran class online,commercial,quran-learning-service,service,New Zealand,,none,none,none,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:77,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
quran classes near me for women's,quran classes near me for women's,commercial,quran-learning-service,service,New Zealand,,women,none,no-local-access,middle,GSC_IMPRESSIONS_68D:1,GSC_AVG_POSITION:74,55.7,MEDIUM,/locations/online-quran-classes-new-zealand,/locations/online-quran-classes-new-zealand,LOW,service,CLUSTER SUPPORT,GSC_SEARCH_ANALYTICS_2026-06-02_TO_2026-08-08,LOW
